regex-redux ; 98.625854492187500000, 95.401733398437500000, 0.000000000000000000, 6.445983886718750000,  10557 
regex-redux ; 101.662963867187500000, 98.378540039062500000, 0.000000000000000000, 6.579772949218750000,  10765.9 
regex-redux ; 100.232299804687500000, 96.989990234375000000, 0.000000000000000000, 6.476562500000000000,  10603.9 
regex-redux ; 99.629577636718750000, 96.414428710937500000, 0.000000000000000000, 6.422973632812500000,  10528.3 
regex-redux ; 102.132385253906250000, 98.849792480468750000, 0.000000000000000000, 6.548767089843750000,  10726.1 
regex-redux ; 100.417480468750000000, 97.189880371093750000, 0.000000000000000000, 6.437316894531250000,  10544.9 
regex-redux ; 99.702697753906250000, 96.472534179687500000, 0.000000000000000000, 6.445373535156250000,  10549 
regex-redux ; 102.077636718750000000, 98.784973144531250000, 0.000000000000000000, 6.567932128906250000,  10772.5 
regex-redux ; 100.332885742187500000, 97.114746093750000000, 0.000000000000000000, 6.416198730468750000,  10506.3 
regex-redux ; 100.934082031250000000, 97.658142089843750000, 0.000000000000000000, 6.539184570312500000,  10722.5 
binary-trees ; 27.415832519531250000, 26.901733398437500000, 0.000000000000000000, 1.310058593750000000,  1150.59 
binary-trees ; 27.621032714843750000, 27.108764648437500000, 0.000000000000000000, 1.319702148437500000,  1148.17 
binary-trees ; 27.509643554687500000, 27.002258300781250000, 0.000000000000000000, 1.295349121093750000,  1151.98 
binary-trees ; 27.797973632812500000, 27.280151367187500000, 0.000000000000000000, 1.312988281250000000,  1163.77 
binary-trees ; 27.702087402343750000, 27.190673828125000000, 0.000000000000000000, 1.321044921875000000,  1149.5 
binary-trees ; 27.633117675781250000, 27.122497558593750000, 0.000000000000000000, 1.314208984375000000,  1149.38 
binary-trees ; 27.576965332031250000, 27.077087402343750000, 0.000000000000000000, 1.285644531250000000,  1149.42 
binary-trees ; 27.592529296875000000, 27.078918457031250000, 0.000000000000000000, 1.317260742187500000,  1149.16 
binary-trees ; 27.712402343750000000, 27.193054199218750000, 0.000000000000000000, 1.326782226562500000,  1163.22 
binary-trees ; 27.581665039062500000, 27.060913085937500000, 0.000000000000000000, 1.318664550781250000,  1149.17 
k-nucleotide ; 46.699279785156250000, 45.665954589843750000, 0.000000000000000000, 2.749084472656250000,  1976.91 
k-nucleotide ; 46.312438964843750000, 45.337524414062500000, 0.000000000000000000, 2.606323242187500000,  1939.2 
k-nucleotide ; 45.492065429687500000, 44.719055175781250000, 0.000000000000000000, 2.101745605468750000,  1904.46 
k-nucleotide ; 46.273132324218750000, 45.320800781250000000, 0.000000000000000000, 2.527282714843750000,  1915.65 
k-nucleotide ; 45.950378417968750000, 45.079101562500000000, 0.000000000000000000, 2.355224609375000000,  1923.18 
k-nucleotide ; 45.700195312500000000, 44.884704589843750000, 0.000000000000000000, 2.219726562500000000,  1908.01 
k-nucleotide ; 45.792724609375000000, 44.898010253906250000, 0.000000000000000000, 2.382568359375000000,  1913.46 
k-nucleotide ; 46.228576660156250000, 45.309265136718750000, 0.000000000000000000, 2.471130371093750000,  1934.68 
k-nucleotide ; 47.332763671875000000, 46.251464843750000000, 0.000000000000000000, 2.864257812500000000,  1995.12 
k-nucleotide ; 46.010131835937500000, 45.168701171875000000, 0.000000000000000000, 2.289550781250000000,  1936.93 
mandelbrot ; 16.360107421875000000, 16.213073730468750000, 0.000000000000000000, 0.285156250000000000,  473.212 
mandelbrot ; 16.387207031250000000, 16.247253417968750000, 0.000000000000000000, 0.290405273437500000,  476.585 
mandelbrot ; 16.145751953125000000, 15.985595703125000000, 0.000000000000000000, 0.289733886718750000,  480.314 
mandelbrot ; 16.325988769531250000, 16.187377929687500000, 0.000000000000000000, 0.287963867187500000,  474.647 
mandelbrot ; 16.403503417968750000, 16.262512207031250000, 0.000000000000000000, 0.288391113281250000,  476.11 
mandelbrot ; 16.399963378906250000, 16.268676757812500000, 0.000000000000000000, 0.287170410156250000,  476.02 
mandelbrot ; 16.436889648437500000, 16.287719726562500000, 0.000000000000000000, 0.288635253906250000,  476.071 
mandelbrot ; 16.317810058593750000, 16.177673339843750000, 0.000000000000000000, 0.283874511718750000,  472.642 
