regex-redux ; 84.859252929687500000, 82.481140136718750000, 0.000000000000000000, 5.041748046875000000,  7306.5 
regex-redux ; 86.014709472656250000, 83.657714843750000000, 0.000000000000000000, 5.050537109375000000,  7238.48 
regex-redux ; 86.222656250000000000, 83.873535156250000000, 0.000000000000000000, 4.993408203125000000,  7230.61 
regex-redux ; 85.390625000000000000, 83.051147460937500000, 0.000000000000000000, 4.940307617187500000,  7244.54 
regex-redux ; 86.164611816406250000, 83.781921386718750000, 0.000000000000000000, 5.043579101562500000,  7407.35 
regex-redux ; 85.924194335937500000, 83.588439941406250000, 0.000000000000000000, 4.962158203125000000,  7254.28 
regex-redux ; 85.787475585937500000, 83.442810058593750000, 0.000000000000000000, 4.968261718750000000,  7244.03 
regex-redux ; 85.530639648437500000, 83.191406250000000000, 0.000000000000000000, 4.966857910156250000,  7229.26 
regex-redux ; 86.186584472656250000, 83.840270996093750000, 0.000000000000000000, 5.015075683593750000,  7236.44 
regex-redux ; 95.547119140625000000, 92.996215820312500000, 0.000000000000000000, 5.933776855468750000,  7346.3 
binary-trees ; 581.597961425781250000, 571.238647460937500000, 0.000000000000000000, 26.172363281250000000,  18938.6 
binary-trees ; 565.778137207031250000, 555.557434082031250000, 0.000000000000000000, 25.918823242187500000,  18445.5 
binary-trees ; 568.976013183593750000, 558.785522460937500000, 0.000000000000000000, 25.779052734375000000,  18396.6 
binary-trees ; 571.806640625000000000, 561.652282714843750000, 0.000000000000000000, 25.636413574218750000,  18421.1 
binary-trees ; 583.855895996093750000, 573.577392578125000000, 0.000000000000000000, 25.982116699218750000,  18637.6 
binary-trees ; 574.570007324218750000, 564.403503417968750000, 0.000000000000000000, 25.627990722656250000,  18426.5 
binary-trees ; 578.021850585937500000, 567.838745117187500000, 0.000000000000000000, 25.766174316406250000,  18390.1 
binary-trees ; 576.265258789062500000, 566.074829101562500000, 0.000000000000000000, 25.791625976562500000,  18386.7 
binary-trees ; 588.365905761718750000, 578.035888671875000000, 0.000000000000000000, 26.078125000000000000,  18607.8 
binary-trees ; 569.873107910156250000, 559.751953125000000000, 0.000000000000000000, 25.457641601562500000,  18244.5 
k-nucleotide ; 757.276550292968750000, 746.563598632812500000, 0.000000000000000000, 33.521240234375000000,  21332.6 
k-nucleotide ; 772.256958007812500000, 761.666748046875000000, 0.000000000000000000, 33.447509765625000000,  21444.8 
k-nucleotide ; 762.569091796875000000, 751.980102539062500000, 0.000000000000000000, 33.395263671875000000,  21099.9 
k-nucleotide ; 773.772705078125000000, 763.137756347656250000, 0.000000000000000000, 33.500122070312500000,  21631.2 
k-nucleotide ; 768.261108398437500000, 757.583068847656250000, 0.000000000000000000, 33.638000488281250000,  21409.7 
k-nucleotide ; 764.269470214843750000, 753.683410644531250000, 0.000000000000000000, 33.307250976562500000,  21288.2 
k-nucleotide ; 775.743225097656250000, 765.063537597656250000, 0.000000000000000000, 33.650024414062500000,  21518.1 
k-nucleotide ; 755.448669433593750000, 744.894409179687500000, 0.000000000000000000, 33.263610839843750000,  21060.7 
k-nucleotide ; 756.332885742187500000, 745.801513671875000000, 0.000000000000000000, 33.210449218750000000,  21120.2 
k-nucleotide ; 790.529052734375000000, 779.899475097656250000, 0.000000000000000000, 33.486206054687500000,  21427.9 
mandelbrot ; 2959.230590820312500000, 2937.508300781250000000, 0.000000000000000000, 40.499694824218750000,  71079 
mandelbrot ; 2917.277404785156250000, 2895.696655273437500000, 0.000000000000000000, 40.231323242187500000,  70615.5 
mandelbrot ; 2920.168945312500000000, 2898.633911132812500000, 0.000000000000000000, 40.167175292968750000,  70509.2 
mandelbrot ; 2952.965515136718750000, 2930.958068847656250000, 0.000000000000000000, 40.963867187500000000,  71933.2 
mandelbrot ; 3017.233642578125000000, 2994.957763671875000000, 0.000000000000000000, 41.507629394531250000,  72917.5 
mandelbrot ; 3001.278625488281250000, 2979.130065917968750000, 0.000000000000000000, 41.285034179687500000,  72491 
mandelbrot ; 2958.374206542968750000, 2936.312866210937500000, 0.000000000000000000, 41.044799804687500000,  72107 
mandelbrot ; 2915.854492187500000000, 2894.185607910156250000, 0.000000000000000000, 40.375671386718750000,  70902.5 
mandelbrot ; 2991.128723144531250000, 2969.093933105468750000, 0.000000000000000000, 41.065124511718750000,  72124.6 
mandelbrot ; 2941.509887695312500000, 2919.602416992187500000, 0.000000000000000000, 40.793945312500000000,  71656.9 
reverse-complement ; 20.025390625000000000, 19.245910644531250000, 0.000000000000000000, 1.699462890625000000,  1832.66 
reverse-complement ; 18.931030273437500000, 18.252563476562500000, 0.000000000000000000, 1.623779296875000000,  1778.3 
reverse-complement ; 19.530334472656250000, 18.835327148437500000, 0.000000000000000000, 1.680725097656250000,  1766.21 
reverse-complement ; 18.872802734375000000, 18.205505371093750000, 0.000000000000000000, 1.600097656250000000,  1767.83 
reverse-complement ; 19.018554687500000000, 18.341979980468750000, 0.000000000000000000, 1.604614257812500000,  1770.96 
reverse-complement ; 19.136413574218750000, 18.451354980468750000, 0.000000000000000000, 1.631225585937500000,  1788.46 
reverse-complement ; 19.117126464843750000, 18.442687988281250000, 0.000000000000000000, 1.614990234375000000,  1779.84 
reverse-complement ; 18.888366699218750000, 18.216308593750000000, 0.000000000000000000, 1.606323242187500000,  1790.13 
reverse-complement ; 18.858886718750000000, 18.176208496093750000, 0.000000000000000000, 1.634643554687500000,  1768.02 
reverse-complement ; 19.017822265625000000, 18.338378906250000000, 0.000000000000000000, 1.624328613281250000,  1789.8 
fannkuch-redux ; 4591.256103515625000000, 4554.175659179687500000, 0.000000000000000000, 69.229980468750000000,  121367 
fannkuch-redux ; 4676.133972167968750000, 4639.166442871093750000, 0.000000000000000000, 68.790588378906250000,  121159 
fannkuch-redux ; 4607.893859863281250000, 4570.879089355468750000, 0.000000000000000000, 68.865966796875000000,  121281 
fannkuch-redux ; 4721.294128417968750000, 4683.715820312500000000, 0.000000000000000000, 69.920043945312500000,  123086 
fannkuch-redux ; 4888.484680175781250000, 4850.810852050781250000, 0.000000000000000000, 70.179687500000000000,  123552 
fannkuch-redux ; 4717.086242675781250000, 4679.934875488281250000, 0.000000000000000000, 69.171997070312500000,  121802 
fannkuch-redux ; 4602.147766113281250000, 4565.139587402343750000, 0.000000000000000000, 68.891845703125000000,  121313 
fannkuch-redux ; 4631.046203613281250000, 4593.972045898437500000, 0.000000000000000000, 68.974914550781250000,  121474 
fannkuch-redux ; 4601.116577148437500000, 4564.138549804687500000, 0.000000000000000000, 68.826660156250000000,  121158 
fannkuch-redux ; 4672.680419921875000000, 4635.556152343750000000, 0.000000000000000000, 69.100158691406250000,  121665 
spectral-norm ; 1844.192077636718750000, 1819.717895507812500000, 0.000000000000000000, 45.932556152343750000,  80633.7 
spectral-norm ; 1820.893249511718750000, 1796.755798339843750000, 0.000000000000000000, 45.366455078125000000,  79639.1 
spectral-norm ; 1842.022155761718750000, 1817.765014648437500000, 0.000000000000000000, 45.664733886718750000,  80142 
spectral-norm ; 1836.142028808593750000, 1811.655090332031250000, 0.000000000000000000, 45.999755859375000000,  80741.5 
spectral-norm ; 1826.023864746093750000, 1801.819885253906250000, 0.000000000000000000, 45.402954101562500000,  79696.5 
spectral-norm ; 1829.684265136718750000, 1805.362304687500000000, 0.000000000000000000, 45.683959960937500000,  80187 
spectral-norm ; 1844.580810546875000000, 1820.060363769531250000, 0.000000000000000000, 46.009948730468750000,  80791 
spectral-norm ; 1823.698852539062500000, 1799.457031250000000000, 0.000000000000000000, 45.507629394531250000,  79877.9 
spectral-norm ; 1830.885925292968750000, 1806.655212402343750000, 0.000000000000000000, 45.520935058593750000,  79820.2 
spectral-norm ; 1838.647338867187500000, -260329.643859863281250000, 0.000000000000000000, 45.607421875000000000,  80094.9 
fasta ; 309.448913574218750000, 298.020324707031250000, 0.000000000000000000, 21.554077148437500000,  37791 
fasta ; 307.153442382812500000, 295.769470214843750000, 0.000000000000000000, 21.493041992187500000,  37711.5 
fasta ; 306.530517578125000000, 295.153808593750000000, 0.000000000000000000, 21.502746582031250000,  37743.6 
fasta ; 307.696594238281250000, 296.251037597656250000, 0.000000000000000000, 21.621887207031250000,  37904.5 
fasta ; 304.794616699218750000, 293.434936523437500000, 0.000000000000000000, 21.464294433593750000,  37668.9 
fasta ; 307.626525878906250000, 296.212707519531250000, 0.000000000000000000, 21.569152832031250000,  37852.8 
fasta ; 305.169738769531250000, 293.783630371093750000, 0.000000000000000000, 21.508178710937500000,  37732.1 
fasta ; 304.686401367187500000, 293.314086914062500000, 0.000000000000000000, 21.482421875000000000,  37678.9 
fasta ; 301.651428222656250000, 290.277282714843750000, 0.000000000000000000, 21.493469238281250000,  37727.3 
fasta ; 305.885925292968750000, 294.516662597656250000, 0.000000000000000000, 21.472045898437500000,  37688.5 
pidigits ; 2632.661682128906250000, 2523.759399414062500000, 0.000000000000000000, 205.608337402343750000,  361806 
pidigits ; 2646.557006835937500000, 2537.632385253906250000, 0.000000000000000000, 205.714416503906250000,  362084 
pidigits ; 2634.668457031250000000, 2525.789062500000000000, 0.000000000000000000, 205.507202148437500000,  361722 
pidigits ; 2638.013305664062500000, 2529.215454101562500000, 0.000000000000000000, 205.792602539062500000,  361442 
pidigits ; 2648.627258300781250000, 2539.894287109375000000, 0.000000000000000000, 205.478149414062500000,  361550 
