binary-trees ; 486.971199999999953434 ;  ;  ;  ;  12333.3 
binary-trees ; 491.072046999999997752 ;  ;  ;  ;  12327.7 
binary-trees ; 497.143341999999961445 ;  ;  ;  ;  12334.3 
binary-trees ; 495.693923999999981334 ;  ;  ;  ;  12246.3 
binary-trees ; 495.188243999999997413 ;  ;  ;  ;  12317.5 
binary-trees ; 494.487290999999970609 ;  ;  ;  ;  12190.1 
binary-trees ; 500.328967999999974836 ;  ;  ;  ;  12342.4 
binary-trees ; 502.272318999999981770 ;  ;  ;  ;  12241 
binary-trees ; 494.473283999999978278 ;  ;  ;  ;  12197.8 
binary-trees ; 503.322373999999967964 ;  ;  ;  ;  12294.2 
fannkuch-redux ; 2895.763743999999860534 ;  ;  ;  ;  70252.2 
fannkuch-redux ; 2946.151732999999694584 ;  ;  ;  ;  70707.9 
fannkuch-redux ; 2952.211081999999805703 ;  ;  ;  ;  71388.8 
fannkuch-redux ; 2918.870703999999932421 ;  ;  ;  ;  71134.5 
fannkuch-redux ; 2913.222649999999703141 ;  ;  ;  ;  70473.4 
fannkuch-redux ; 2906.737877999999909662 ;  ;  ;  ;  69882.5 
fannkuch-redux ; 2902.251233999999840307 ;  ;  ;  ;  70405.5 
fannkuch-redux ; 2919.345640000000003056 ;  ;  ;  ;  70528.2 
fannkuch-redux ; 2929.864978000000064640 ;  ;  ;  ;  70092.7 
fannkuch-redux ; 2963.470844999999826541 ;  ;  ;  ;  71344.9 
fasta ; 351.791178999999999633 ;  ;  ;  ;  25528.2 
fasta ; 392.891424999999969714 ;  ;  ;  ;  25655.6 
fasta ; 424.627851999999961663 ;  ;  ;  ;  26009.4 
fasta ; 402.040091999999958716 ;  ;  ;  ;  25616.9 
fasta ; 399.621880999999973483 ;  ;  ;  ;  25851.7 
fasta ; 391.007503999999983080 ;  ;  ;  ;  25744.3 
fasta ; 403.066297999999960666 ;  ;  ;  ;  25748.9 
fasta ; 410.659717000000000553 ;  ;  ;  ;  25772.5 
fasta ; 392.044713000000001557 ;  ;  ;  ;  25816.8 
fasta ; 399.798339999999996053 ;  ;  ;  ;  25531.4 
k-nucleotide ; 599.702689999999961401 ;  ;  ;  ;  12741.4 
k-nucleotide ; 595.888708999999948901 ;  ;  ;  ;  12361 
k-nucleotide ; 598.827154999999947904 ;  ;  ;  ;  12381.6 
k-nucleotide ; 600.762556000000017775 ;  ;  ;  ;  12444.3 
k-nucleotide ; 597.067480999999929736 ;  ;  ;  ;  12525.5 
k-nucleotide ; 597.716647999999963758 ;  ;  ;  ;  12491.6 
k-nucleotide ; 599.839829000000008818 ;  ;  ;  ;  12310.4 
k-nucleotide ; 600.621419999999943684 ;  ;  ;  ;  12265.7 
k-nucleotide ; 596.858888999999976477 ;  ;  ;  ;  12343.3 
k-nucleotide ; 602.121128999999996267 ;  ;  ;  ;  12324.9 
mandelbrot ; 2016.528878999999960797 ;  ;  ;  ;  45483.1 
mandelbrot ; 2153.818730999999843334 ;  ;  ;  ;  47153.8 
mandelbrot ; 2061.443136999999751424 ;  ;  ;  ;  45619.5 
mandelbrot ; 2003.398393999999825610 ;  ;  ;  ;  44184 
mandelbrot ; 2008.457580999999890992 ;  ;  ;  ;  44100.7 
mandelbrot ; 2068.280048000000078900 ;  ;  ;  ;  45270.4 
mandelbrot ; 2012.886092999999846143 ;  ;  ;  ;  44440 
mandelbrot ; 2037.990094999999882930 ;  ;  ;  ;  45044.5 
mandelbrot ; 2057.750364999999874271 ;  ;  ;  ;  45001.7 
mandelbrot ; 2037.657608999999865773 ;  ;  ;  ;  44908.9 
n-body ; 2597.882832999999664025 ;  ;  ;  ;  192521 
n-body ; 2868.225419999999758147 ;  ;  ;  ;  188730 
n-body ; 2957.977888999999777297 ;  ;  ;  ;  198291 
n-body ; 2916.022065999999995256 ;  ;  ;  ;  189422 
n-body ; 2816.581897000000026310 ;  ;  ;  ;  187392 
n-body ; 3002.536725999999816850 ;  ;  ;  ;  194312 
n-body ; 2914.509403000000020256 ;  ;  ;  ;  192020 
n-body ; 2979.831478999999944790 ;  ;  ;  ;  188795 
n-body ; 2888.332991999999649124 ;  ;  ;  ;  188108 
n-body ; 2924.089915999999902851 ;  ;  ;  ;  189221 
pidigits ; 3742.271831999999903928 ;  ;  ;  ;  260111 
pidigits ; 3712.920032999999875756 ;  ;  ;  ;  259326 
pidigits ; 3653.505259000000023661 ;  ;  ;  ;  260032 
pidigits ; 3779.829550999999810301 ;  ;  ;  ;  260113 
pidigits ; 3815.901401999999961845 ;  ;  ;  ;  259768 
pidigits ; 3773.961492999999791209 ;  ;  ;  ;  259621 
pidigits ; 3798.379022999999961030 ;  ;  ;  ;  259960 
pidigits ; 3811.489824999999655120 ;  ;  ;  ;  259759 
pidigits ; 3728.895158999999694061 ;  ;  ;  ;  259702 
pidigits ; 3846.719204999999874417 ;  ;  ;  ;  259825 
regex-redux ; 88.215057999999999083 ;  ;  ;  ;  4056.3 
regex-redux ; 93.610744999999994320 ;  ;  ;  ;  4019.88 
regex-redux ; 92.602541999999999689 ;  ;  ;  ;  3984.57 
regex-redux ; 94.032963999999992666 ;  ;  ;  ;  4016.83 
regex-redux ; 94.808572999999995545 ;  ;  ;  ;  4013.51 
regex-redux ; 91.455902999999992176 ;  ;  ;  ;  3999.08 
regex-redux ; 95.520328999999989605 ;  ;  ;  ;  4094.14 
regex-redux ; 94.229562999999998851 ;  ;  ;  ;  3991.97 
regex-redux ; 90.990686999999994100 ;  ;  ;  ;  3997.86 
regex-redux ; 90.147818999999998368 ;  ;  ;  ;  4044.82 
reverse-complement ; 24.328851000000000226 ;  ;  ;  ;  1291.66 
reverse-complement ; 23.707848999999999506 ;  ;  ;  ;  1286.33 
reverse-complement ; 23.751946000000000225 ;  ;  ;  ;  1275.22 
reverse-complement ; 23.150993999999997186 ;  ;  ;  ;  1281.05 
reverse-complement ; 24.349142999999997983 ;  ;  ;  ;  1277.36 
reverse-complement ; 24.427431999999999590 ;  ;  ;  ;  1306.2 
reverse-complement ; 24.012888000000000233 ;  ;  ;  ;  1269.67 
reverse-complement ; 23.617827999999999378 ;  ;  ;  ;  1283.66 
reverse-complement ; 24.671011000000000024 ;  ;  ;  ;  1284.43 
reverse-complement ; 24.450792999999997335 ;  ;  ;  ;  1277.34 
spectral-norm ; 1511.571777999999994790 ;  ;  ;  ;  47058.2 
spectral-norm ; 1510.649934999999913998 ;  ;  ;  ;  47831.3 
spectral-norm ; 1491.413334999999960928 ;  ;  ;  ;  47087.1 
spectral-norm ; 1539.616348000000016327 ;  ;  ;  ;  48074.5 
spectral-norm ; 1515.436553000000003522 ;  ;  ;  ;  47939.7 
spectral-norm ; 1494.080510000000003856 ;  ;  ;  ;  47260.1 
spectral-norm ; 1548.872811999999839827 ;  ;  ;  ;  48831 
spectral-norm ; 1531.512929999999869324 ;  ;  ;  ;  47947.1 
spectral-norm ; 1505.033433999999942898 ;  ;  ;  ;  47939.9 
spectral-norm ; 1529.573897999999871899 ;  ;  ;  ;  48515.3 
